arena,teams,lat,lon
Amway Center,ORL,28.5392,-81.3839
Barclays Center,BKN,40.6826,-73.9754
Ball Arena,DEN,39.7489,-105.0078
BMO Harris Bradley Center,MIL,43.0450,-87.9170
Capital One Arena,WAS,38.8980,-77.0209
Chase Center,GSW,37.7680,-122.3877
Crypto.com Arena,"LAC,LAL",33.9553,-118.3392
Delta Center,UTA,40.7683,-111.9011
Fiserv Forum,MIL,43.0450,-87.9172
Footprint Center,PHX,33.4457,-112.0712
Gainbridge Fieldhouse,IND,39.7639,-86.1555
Golden 1 Center,SAC,38.5802,-121.4996
Amalie Arena,TOR,43.6434,-79.3791
Kaseya Center,MIA,25.7814,-80.1870
Madison Square Garden,NYK,40.7505,-73.9934
Moda Center,POR,45.5316,-122.6668
Paycom Center,OKC,35.4634,-97.5151
Rocket Mortgage FieldHouse,CLE,41.4966,-81.6883
Scotiabank Arena,TOR,43.6434,-79.3791
Smoothie King Center,NOP,29.9489,-90.0818
State Farm Silver Dome,ATL,33.7564,-84.4005
State Farm Arena,ATL,33.7572,-84.4008
Target Center,MIN,44.9795,-93.2764
TD Garden,BOS,42.3656,-71.0616
Toyota Center,HOU,29.7508,-95.3622
Vivint Smart Home Arena,UTA,40.7683,-111.9011
Wells Fargo Center,PHI,39.9012,-75.1721
Little Caesars Arena,DET,42.3411,-83.0554
United Center,"CHI",41.8807,-87.6742
AT&T Center,SAS,29.4270,-98.4375
Alamodome,SAS,29.4270,-98.4375
